2022:October:03 - 17:36 => Пользователь - Ярослав => Начал игру
2022:October:03 - 17:36 => Пользователь - Ярослав => Захотел поиграть.
2022:October:03 - 17:36 => Пользователь - Ярослав => Выбрал игру с человеком.
2022:October:03 - 17:36 => Пользователь - Ярослав => Пользователь задал два имени Антон и Илья 
2022:October:03 - 17:36 => Пользователь - Ярослав => Для игры было выбрано 14 конфет
2022:October:03 - 17:36 => Пользователь - Ярослав => Установлено максимальное кол. конфет = 2
2022:October:03 - 17:36 => Пользователь - Ярослав => Первый игрок взял 1 конфет
2022:October:03 - 17:36 => Пользователь - Ярослав => Второй игрок взял 2 конфет
2022:October:03 - 17:36 => Пользователь - Ярослав => Первый игрок взял 1 конфет
2022:October:03 - 17:36 => Пользователь - Ярослав => Первый игрок взял 2 конфет
2022:October:03 - 17:37 => Пользователь - Ярослав => Второй игрок взял 1 конфет
2022:October:03 - 17:37 => Пользователь - Ярослав => Первый игрок взял 2 конфет
2022:October:03 - 17:37 => Пользователь - Ярослав => Второй игрок взял 1 конфет
2022:October:03 - 17:37 => Пользователь - Ярослав => Первый игрок взял 2 конфет
2022:October:03 - 17:37 => Пользователь - Ярослав => Второй игрок взял 2 конфет
2022:October:03 - 17:37 => Пользователь - Ярослав => Выиграл второй игрок
2022:October:03 - 17:37 => Пользователь - Ярослав => Не захотел играть.
